latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.78339,-38.19534,309.14,1,1,2023-04-20,0048,T,77,6.1NRT,297.19,5.78,N
-10.5513,-44.7821,303.01,2.24,1.45,2023-04-20,0048,T,28,6.1NRT,291.55,12.24,N
-10.55367,-44.80235,306.63,2.25,1.45,2023-04-20,0048,T,69,6.1NRT,291.62,19.55,N
-10.55273,-44.78745,307.97,2.24,1.45,2023-04-20,0048,T,73,6.1NRT,291.67,24.17,N
-8.89016,-35.39996,306.9,1.3,1.13,2023-04-20,0048,T,70,6.1NRT,294.24,9.87,N
-9.50367,-40.35611,305.22,1.09,1.04,2023-04-20,0048,T,58,6.1NRT,295.15,5.16,N
-9.39309,-40.35778,315.77,1.09,1.04,2023-04-20,0048,T,91,6.1NRT,294.72,13.25,N
-9.39441,-40.36758,314.56,1.09,1.04,2023-04-20,0048,T,88,6.1NRT,294.89,12.06,N
-6.01752,-45.43475,300.57,2.15,1.42,2023-04-20,0050,T,30,6.1NRT,282.97,11.81,N
55.19792,34.27018,304.6,1.23,1.1,2023-04-20,0039,A,61,6.1NRT,272.34,15.32,N
47.554,124.13432,302.53,4.57,1.96,2023-04-20,0126,T,46,6.1NRT,279.24,39.78,D
47.55336,124.12868,301.88,4.57,1.96,2023-04-20,0126,T,42,6.1NRT,279.21,34.59,D
39.85564,141.18732,303.47,1.34,1.15,2023-04-20,0126,T,44,6.1NRT,290.72,6.06,D
36.66931,138.94594,313.38,1.19,1.09,2023-04-20,0128,T,60,6.1NRT,294.61,12.1,D
36.61512,138.97192,321.62,1.2,1.09,2023-04-20,0128,T,80,6.1NRT,296.75,21.12,D
36.31098,138.92331,312.87,1.2,1.09,2023-04-20,0128,T,46,6.1NRT,298.4,7.62,D
36.30652,138.94919,328.57,1.21,1.09,2023-04-20,0128,T,83,6.1NRT,296.71,29.61,D
36.17394,138.94673,305.98,1.21,1.09,2023-04-20,0128,T,34,6.1NRT,293.35,7.81,D
36.13905,137.88873,315.76,1.1,1.05,2023-04-20,0128,T,58,6.1NRT,300.13,8.24,D
36.2356,137.18462,312.24,1.05,1.02,2023-04-20,0128,T,38,6.1NRT,300.72,8.94,D
36.11226,137.95062,314.86,1.11,1.05,2023-04-20,0128,T,33,6.1NRT,301.36,8.59,D
36.04899,138.15848,317.13,1.13,1.06,2023-04-20,0128,T,75,6.1NRT,294.44,14.97,D
36.13657,137.22488,309.58,1.05,1.02,2023-04-20,0128,T,40,6.1NRT,298.26,6.8,D
35.89641,137.95888,313.03,1.11,1.05,2023-04-20,0128,T,44,6.1NRT,298.57,5.85,D
35.95705,136.05292,305.25,1.01,1,2023-04-20,0128,T,38,6.1NRT,293.14,3.19,D
35.35565,137.80127,307.43,1.12,1.05,2023-04-20,0128,T,57,6.1NRT,295.25,6.7,D
35.41651,137.14102,308.43,1.06,1.03,2023-04-20,0128,T,29,6.1NRT,295.7,4.68,D
35.30103,137.17198,310.79,1.07,1.03,2023-04-20,0128,T,23,6.1NRT,297.73,6.43,D
35.06231,137.7742,307.07,1.12,1.06,2023-04-20,0128,T,52,6.1NRT,294.17,6.76,D
35.07522,137.13046,317.37,1.07,1.03,2023-04-20,0128,T,25,6.1NRT,299.19,5.91,D
35.05726,137.06737,316.33,1.06,1.03,2023-04-20,0128,T,65,6.1NRT,298.49,6.23,D
35.02493,136.8663,319.68,1.05,1.02,2023-04-20,0128,T,0,6.1NRT,299.58,8.29,D
34.86735,137.50021,312.06,1.1,1.05,2023-04-20,0128,T,23,6.1NRT,297.77,7.1,D
34.88012,137.13126,314.79,1.07,1.03,2023-04-20,0128,T,59,6.1NRT,297.09,7.94,D
34.74665,137.61182,324.35,1.12,1.05,2023-04-20,0128,T,0,6.1NRT,296.95,19.82,D
34.66364,138.10794,315.74,1.17,1.08,2023-04-20,0128,T,46,6.1NRT,297.28,9.46,D
34.85698,136.81505,313.49,1.05,1.02,2023-04-20,0128,T,44,6.1NRT,299.3,11.37,D
34.69254,137.64815,322,1.12,1.05,2023-04-20,0128,T,65,6.1NRT,297.81,13.71,D
34.69054,137.66002,320.47,1.12,1.06,2023-04-20,0128,T,59,6.1NRT,298.55,11.54,D
34.73574,136.17088,311.04,1.02,1.01,2023-04-20,0128,T,51,6.1NRT,298.87,6.19,D
34.68618,136.36807,310.03,1.03,1.01,2023-04-20,0128,T,54,6.1NRT,296.16,6.41,D
34.62069,136.43282,313.75,1.03,1.02,2023-04-20,0128,T,66,6.1NRT,296.84,8.97,D
34.6221,136.36493,313.35,1.03,1.01,2023-04-20,0128,T,57,6.1NRT,297.77,8.57,D
34.51364,136.64211,314.28,1.05,1.02,2023-04-20,0128,T,59,6.1NRT,298.84,6.13,D
-33.25801,-60.28389,300.6,1.14,1.06,2023-04-20,0219,T,30,6.1NRT,285.63,8.71,N
-21.96468,131.4827,311.94,3.3,1.72,2023-04-20,0145,T,51,6.1NRT,299.07,30.06,D
-21.96137,131.47655,311.78,3.3,1.72,2023-04-20,0145,T,43,6.1NRT,299.04,28.15,D
-20.76879,117.72197,318.78,1.61,1.25,2023-04-20,0145,T,65,6.1NRT,304.4,14.04,D
-29.49193,115.60253,321.59,1.52,1.22,2023-04-20,0147,T,77,6.1NRT,299.23,24.33,D
-29.50267,115.59985,319.17,1.52,1.22,2023-04-20,0147,T,75,6.1NRT,298.87,19.6,D
-30.36127,117.03334,310.46,1.22,1.1,2023-04-20,0147,T,60,6.1NRT,297.2,7.27,D
-30.56795,117.21774,309.33,1.19,1.08,2023-04-20,0147,T,58,6.1NRT,296.87,5.96,D
-30.57002,117.22994,313.7,1.19,1.08,2023-04-20,0147,T,68,6.1NRT,297.17,10.22,D
-31.26584,119.56313,308.64,1,1,2023-04-20,0147,T,62,6.1NRT,295.66,6.88,D
-30.71943,116.02107,310.41,1.36,1.16,2023-04-20,0147,T,61,6.1NRT,298.58,7.58,D
